timestamp_utc,date,model_version,ticker,target_weight_raw,target_weight_capped,vol_scalar,final_target_weight,sigma_forecast,quality_status,rebalance_eligible
2026-06-23T18:12:33.947682+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,SHY,0.18959289200409418,0.15,1.0,0.15,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.948683+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,TIP,0.015046468818043161,0.050043266092811886,1.0,0.050043266092811886,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.948683+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,LQD,0.002684775318117695,0.008929332673913767,1.0,0.008929332673913767,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.948683+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,HYG,0.011851613307438238,0.039417450402849774,1.0,0.039417450402849774,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.949719+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,EMB,0.004588661320605293,0.01526149439139359,1.0,0.01526149439139359,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.949719+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,BNDX,0.022916608192701766,0.07621867533177362,1.0,0.07621867533177362,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.950725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,BIL,0.35292962640108677,0.35292962640108677,1.0,0.35292962640108677,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.950725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,SGOV,0.35312410976778036,0.15,1.0,0.15,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.951725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,GLD,0.0008294388552161337,0.002758642565325601,1.0,0.002758642565325601,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.951725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,IAU,0.000838812803891061,0.0027898195154494212,1.0,0.0027898195154494212,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.951725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,SLV,0.000402105391722893,0.0013373680800915057,1.0,0.0013373680800915057,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.952724+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,DBC,0.0016512915991524003,0.0054920543745197135,1.0,0.0054920543745197135,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.952724+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,USO,0.00034547868073860305,0.001149032491189118,1.0,0.001149032491189118,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.953725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,VNQ,0.0013299674981426194,0.004423357945920909,1.0,0.004423357945920909,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.953725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,VNQI,0.001137504023130519,0.0037832409184873324,1.0,0.0037832409184873324,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:12:33.954725+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,RWX,0.000756520039828169,0.002516120833099852,1.0,0.002516120833099852,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.783926+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,SPY,0.0004597133662106253,0.001528967267330737,1.0,0.001528967267330737,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.783926+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,VTI,0.00045424745821313824,0.0015107881256553784,1.0,0.0015107881256553784,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.784926+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,QQQ,0.00024997360920104444,0.0008313908062220896,1.0,0.0008313908062220896,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.785509+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,IWM,0.0002718582398679112,0.0009041772127237684,1.0,0.0009041772127237684,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.785509+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,EFA,0.00042656157274460234,0.0014187072427404696,1.0,0.0014187072427404696,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.786515+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,IEFA,0.0004293515521635258,0.0014279864752396742,1.0,0.0014279864752396742,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.786515+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,VGK,0.0008283033101122365,0.0027548658396046415,1.0,0.0027548658396046415,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.786515+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,EWJ,0.00034721448588227765,0.0011548056303715161,1.0,0.0011548056303715161,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.787515+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,EEM,0.0004044242873700023,0.00134508052832857,1.0,0.00134508052832857,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.787515+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,VWO,0.0005556918440498162,0.0018481834610950848,1.0,0.0018481834610950848,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.788514+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,FXI,0.0004182797439792879,0.0013911625898621318,1.0,0.0013911625898621318,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.788514+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLF,0.0009835258013250465,0.003271122545765286,1.0,0.003271122545765286,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.788514+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLK,0.00016624144066690512,0.000552904787930719,1.0,0.000552904787930719,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.789516+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLE,0.0015820031651500193,0.0052616069797278295,1.0,0.0052616069797278295,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.789516+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLV,0.0012762702708941777,0.004244765568922952,1.0,0.004244765568922952,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.790514+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLI,0.0007172856338830212,0.002385630560568135,1.0,0.002385630560568135,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.790514+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLY,0.00026326534263242666,0.0008755979727662921,1.0,0.0008755979727662921,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.790514+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLP,0.0045133462800295765,0.01501100301950427,1.0,0.01501100301950427,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.791516+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLU,0.0030927624911214996,0.010286263054588877,1.0,0.010286263054588877,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.791516+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLB,0.0005311469879047736,0.0017665493725836847,1.0,0.0017665493725836847,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.791516+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,XLRE,0.0014262563064281588,0.0047436062721603976,1.0,0.0047436062721603976,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.791516+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,USMV,0.002451514249899463,0.008153526347053838,1.0,0.008153526347053838,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.793055+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,MTUM,0.0004334442696866303,0.0014415985030535247,1.0,0.0014415985030535247,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.793055+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,VLUE,0.000517349704758716,0.00172066079100446,1.0,0.00172066079100446,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.794061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,QUAL,0.0010541903327541326,0.0035061467226930342,1.0,0.0035061467226930342,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.794061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,AGG,0.004939252966176199,0.016427532165531177,1.0,0.016427532165531177,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.794061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,BND,0.007451595107402741,0.024783366867346328,1.0,0.024783366867346328,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.795061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,TLT,0.0007229069287120494,0.0024043265055315056,1.0,0.0024043265055315056,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.795061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,IEF,0.0030061492290901905,0.009998194766180798,1.0,0.009998194766180798,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.796060+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,SHY,0.18959289200409418,0.15,1.0,0.15,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.796060+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,TIP,0.015046468818043161,0.050043266092811886,1.0,0.050043266092811886,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.796060+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,LQD,0.002684775318117695,0.008929332673913767,1.0,0.008929332673913767,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.797061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,HYG,0.011851613307438238,0.039417450402849774,1.0,0.039417450402849774,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.797061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,EMB,0.004588661320605293,0.01526149439139359,1.0,0.01526149439139359,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.797061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,BNDX,0.022916608192701766,0.07621867533177362,1.0,0.07621867533177362,0.01906184284719717,OK,MONTH_END_ONLY
2026-06-23T18:21:08.798061+00:00,2026-06-22,HRP_UNCONDITIONAL_CORE_V1,BIL,0.35292962640108677,0.35292962640108677,1.0,0.35292962640108677,0.01906184284719717,OK,MONTH_END_ONLY
