entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,timestamp,HMM_Prob_Bull,ML_Master_Strength,Vol_Projected_Sigma,Regime_Buffer_18,Raw_Accel_Mag,hour,session,month,quarter
2024-05-06 04:00:00,2024-05-07 04:14:22.803,292,384,BUY,2323.055,2313.1941537071884,SL,0.1,92,False,-98.60846292811402,-0.0098608462928114,9901.391537071886,2024-05-06 04:00:00,0.6041323052086917,0.9569056704072886,0.0013650942946609123,1.0,0.009928687594469576,4,ASIA_00_07,2024-05,2024Q2
2024-05-09 10:30:00,2024-05-09 21:22:19.182,594,633,BUY,2335.265,2355.224326541126,TP,0.1,39,True,153.02150348197074,0.015302150348197,10054.413040553856,2024-05-09 10:30:00,0.6594375758092338,0.9849118857931378,0.00142658084298979,1.0,0.007904995746399496,10,LONDON_07_13,2024-05,2024Q2
2024-05-09 21:45:00,2024-05-10 05:07:30.733,635,664,BUY,2350.735,2372.5992771224123,TP,0.09,29,True,157.42279528136885,0.0157422795281368,10211.835835835223,2024-05-09 21:45:00,0.5901837576052374,0.8854057810937601,0.0015661769713134301,0.0,0.015043457266116,21,LATE_20_24,2024-05,2024Q2
2024-05-10 05:30:00,2024-05-10 08:37:21.421,666,678,BUY,2371.485,2364.6585231957074,SL,0.15,12,False,-102.39715206439088,-0.010239715206439,10109.438683770832,2024-05-10 05:30:00,0.730105498695824,0.9308183612176433,0.0009782868501583778,1.0,0.005145135065238171,5,ASIA_00_07,2024-05,2024Q2
2024-05-13 04:00:00,2024-05-13 08:16:34.663,752,769,SELL,2348.518,2348.518,SL,0.2,17,True,94.6857626212104,0.009468576262121,10204.124446392045,2024-05-13 04:00:00,0.4205120914568867,0.7180516988214645,0.0007285197263213801,0.0,0.0033954257699330137,4,ASIA_00_07,2024-05,2024Q2
2024-05-13 09:30:00,2024-05-13 11:03:18.307,774,780,BUY,2346.025,2340.213011929238,SL,0.18,6,False,-104.61578527372058,-0.010461578527372,10099.50866111832,2024-05-13 09:30:00,0.5516002740868695,0.5272575845535842,0.0008360274579098467,0.0,0.012125423429674542,9,LONDON_07_13,2024-05,2024Q2
2024-05-13 11:45:00,2024-05-13 21:12:21.767,783,816,SELL,2333.475,2340.274682439612,SL,0.15,33,False,-101.99523659417764,-0.0101995236594177,9997.513424524144,2024-05-13 11:45:00,0.3693307463826234,0.7582380606578095,0.0009637588834239166,-1.0,0.0069315406520490674,11,LONDON_07_13,2024-05,2024Q2
2024-05-14 09:30:00,2024-05-14 10:14:09.005,866,868,BUY,2348.812,2348.812,SL,0.17,2,True,92.78697830893468,0.0092786978308934,10090.30040283308,2024-05-14 09:30:00,0.5853085731063473,0.5727238141678864,0.0008326674639862109,0.0,0.0019828637294130036,9,LONDON_07_13,2024-05,2024Q2
2024-05-14 11:00:00,2024-05-14 12:01:33.153,872,876,BUY,2353.345,2346.633815586754,SL,0.15,4,False,-100.6677661986896,-0.0100667766198689,9989.63263663439,2024-05-14 11:00:00,0.5935078331070138,0.6686415673943941,0.0009523313114307853,0.0,0.008690134348638384,11,LONDON_07_13,2024-05,2024Q2
2024-05-14 14:30:00,2024-05-15 04:44:55.604,886,938,BUY,2358.765,2372.032431255871,TP,0.15,52,True,145.9417438145788,0.0145941743814578,10135.574380448968,2024-05-14 14:30:00,0.6246323685647298,0.6959587468042429,0.0009344553490782109,1.0,0.008205858260531884,14,NY_13_20,2024-05,2024Q2
